#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
A, 0.00,0.00,0.00,0.00,0.00,0.00,
B, 0.00,0.00,0.00,0.00,0.00,0.00,
C, 0.00,0.11,0.08,0.00,0.00,0.00,
D, 0.08,0.14,0.19,0.00,0.00,0.00,
A, 0.22,0.25,0.23,0.00,0.00,0.00,
B, 0.17,0.25,0.27,0.00,0.00,0.00,
C, 0.28,0.21,0.26,0.00,0.00,0.00,
D, 0.26,0.33,0.34,0.00,0.00,0.00,
